label,buiy,ui,exec,threads_req,pool_threads,par_entities,par_cost,dirty,frames,min_us,p50_us,p90_us,p99_us,mean_us
floor_flatS,1,flat_large,mt,1,1,4000,0,0,150,778.1,904.9,1098.5,1435.4,938.9
floor_flatD,1,flat_large,mt,1,1,4000,0,1,150,1718.2,2200.1,2982.8,3937.4,2319.2
floor_textS,1,text_large,mt,1,1,4000,0,0,150,2218.5,2481.9,3080.1,3533.1,2597.0
floor_textD,1,text_large,mt,1,1,4000,0,1,150,13227.5,14025.9,15067.9,17512.9,14227.0
floor_flatS,1,flat_large,mt,2,2,4000,0,0,150,846.7,920.0,1038.0,1407.5,954.2
floor_flatD,1,flat_large,mt,2,2,4000,0,1,150,1869.9,2731.2,3438.2,4284.9,2759.9
floor_textS,1,text_large,mt,2,2,4000,0,0,150,2335.9,2536.3,2875.5,3405.0,2589.2
floor_textD,1,text_large,mt,2,2,4000,0,1,150,13401.8,15475.4,16858.1,19254.6,15431.8
floor_flatS,1,flat_large,mt,4,4,4000,0,0,150,861.7,941.4,1197.2,1583.0,1001.1
floor_flatD,1,flat_large,mt,4,4,4000,0,1,150,1920.3,2667.3,3676.8,4451.8,2778.1
floor_textS,1,text_large,mt,4,4,4000,0,0,150,2341.5,2545.0,2876.5,3165.8,2601.5
floor_textD,1,text_large,mt,4,4,4000,0,1,150,13443.5,14484.4,16353.6,17833.4,14745.3
floor_flatS,1,flat_large,mt,8,8,4000,0,0,150,870.1,943.6,1139.0,1370.5,986.3
floor_flatD,1,flat_large,mt,8,8,4000,0,1,150,1894.1,2678.1,3703.9,4694.1,2820.4
floor_textS,1,text_large,mt,8,8,4000,0,0,150,2348.8,2548.3,2925.5,3590.1,2622.0
floor_textD,1,text_large,mt,8,8,4000,0,1,150,13591.9,14649.6,16119.4,17427.8,14896.7
floor_flatS,1,flat_large,mt,16,16,4000,0,0,150,883.8,979.1,1125.0,1467.4,1012.5
floor_flatD,1,flat_large,mt,16,16,4000,0,1,150,1932.5,2674.1,3535.1,3876.5,2731.6
floor_textS,1,text_large,mt,16,16,4000,0,0,150,2353.2,2560.3,2828.7,3208.2,2618.8
floor_textD,1,text_large,mt,16,16,4000,0,1,150,13359.2,14638.0,17097.4,21253.5,15116.3
